client_id,lead_id,client_name,region,signup_date,status,last_activity_date
CL-0001,LD-0001,Summit Outfitters #2,North,2026-01-28,active,2026-06-25
CL-0002,LD-0002,Summit Outfitters #3,North,2026-01-28,active,2026-06-21
CL-0003,LD-0005,Willowbrook Traders #4,North,2026-01-26,inactive,2026-02-05
CL-0004,LD-0006,Fieldstone Supply Co #5,North,2026-01-18,active,2026-06-26
CL-0005,LD-0007,Maple Street Goods #6,North,2026-01-31,inactive,2026-03-04
CL-0006,LD-0009,Cedar & Co Supplies #7,North,2026-01-04,active,2026-06-24
CL-0007,LD-0017,Brightline Retailers #8,North,2026-03-06,active,2026-06-25
CL-0008,LD-0018,Stonegate Distribution #9,North,2026-02-15,inactive,2026-03-17
CL-0009,LD-0022,Cedar & Co Supplies #10,North,2026-03-04,active,2026-06-27
CL-0010,LD-0030,Coastal Ridge Traders #11,North,2026-04-08,active,2026-06-30
CL-0011,LD-0031,Anchor Point Services #12,North,2026-04-07,active,2026-06-28
CL-0012,LD-0032,Ironwood Wholesale #13,North,2026-05-28,active,2026-06-28
CL-0013,LD-0033,Anchor Point Services #14,North,2026-06-02,active,2026-06-29
CL-0014,LD-0040,Anchor Point Services #15,South,2026-01-16,active,2026-06-21
CL-0015,LD-0041,Fieldstone Supply Co #16,South,2026-01-25,active,2026-06-27
CL-0016,LD-0045,Stonegate Distribution #17,South,2026-02-07,inactive,2026-03-16
CL-0017,LD-0048,Anchor Point Services #18,South,2026-03-02,active,2026-06-25
CL-0018,LD-0051,Anchor Point Services #19,South,2026-02-09,active,2026-06-29
CL-0019,LD-0057,Harborview Foods #20,South,2026-04-06,inactive,2026-05-16
CL-0020,LD-0059,Ironwood Wholesale #21,South,2026-03-27,active,2026-06-26
CL-0021,LD-0060,Ironwood Wholesale #22,South,2026-04-16,active,2026-06-27
CL-0022,LD-0068,Willowbrook Traders #23,South,2026-05-31,active,2026-06-21
CL-0023,LD-0072,Willowbrook Traders #24,South,2026-05-13,active,2026-06-23
CL-0024,LD-0075,Clearwater Mercantile #25,South,2026-05-29,active,2026-06-28
CL-0025,LD-0076,Stonegate Distribution #26,South,2026-06-15,active,2026-06-28
CL-0026,LD-0093,Willowbrook Traders #27,East,2026-01-24,active,2026-06-24
CL-0027,LD-0102,Stonegate Distribution #28,East,2026-02-19,active,2026-06-23
CL-0028,LD-0104,Harborview Foods #29,East,2026-02-20,active,2026-06-22
CL-0029,LD-0107,Willowbrook Traders #30,East,2026-03-06,active,2026-06-24
CL-0030,LD-0114,Maple Street Goods #31,East,2026-03-05,active,2026-06-24
CL-0031,LD-0120,Riverside Wholesale #32,East,2026-04-25,inactive,2026-05-05
CL-0032,LD-0122,Willowbrook Traders #33,East,2026-04-12,inactive,2026-04-23
CL-0033,LD-0134,Cedar & Co Supplies #34,East,2026-05-18,active,2026-06-27
CL-0034,LD-0136,Ironwood Wholesale #35,East,2026-05-27,active,2026-06-27
CL-0035,LD-0137,Anchor Point Services #36,East,2026-05-09,active,2026-06-20
CL-0036,LD-0141,Fieldstone Supply Co #37,East,2026-06-12,inactive,2026-06-24
CL-0037,LD-0150,Blue Harbor Retail #38,,2026-06-19,inactive,2026-07-19
