conversion_id,lead_id,client_id,conversion_date,conversion_type,value
CV-0001,LD-0001,CL-0001,2026-01-22,paid_signup,436.91
CV-0002,LD-0002,CL-0002,2026-01-22,paid_signup,587.37
CV-0003,LD-0005,CL-0003,2026-01-25,paid_signup,340.48
CV-0004,LD-0006,CL-0004,2026-01-13,paid_signup,824.18
CV-0005,LD-0007,CL-0005,2026-02-04,upsell,219.4
CV-0006,LD-0009,CL-0006,2026-01-05,trial_signup,858.93
CV-0007,LD-0017,CL-0007,2026-03-01,paid_signup,468.23
CV-0008,LD-0018,CL-0008,2026-02-14,paid_signup,376.59
CV-0009,LD-0022,CL-0009,2026-03-10,upsell,76.66
CV-0010,LD-0030,CL-0010,2026-04-08,paid_signup,581.11
CV-0011,LD-0031,CL-0011,2026-04-09,trial_signup,772.53
CV-0012,LD-0032,CL-0012,2026-05-25,trial_signup,574.45
CV-0013,LD-0033,CL-0013,2026-05-26,upsell,236.29
CV-0014,LD-0040,CL-0014,2026-01-15,paid_signup,322.59
CV-0015,LD-0041,CL-0015,2026-01-23,trial_signup,292.6
CV-0016,LD-0045,CL-0016,2026-02-06,paid_signup,690.7
CV-0017,LD-0048,CL-0017,2026-03-02,paid_signup,827.55
CV-0018,LD-0051,CL-0018,2026-02-04,paid_signup,480.62
CV-0019,LD-0057,CL-0019,2026-04-03,paid_signup,217.6
CV-0020,LD-0059,CL-0020,2026-03-30,paid_signup,461.63
CV-0021,LD-0060,CL-0021,2026-04-11,trial_signup,554.56
CV-0022,LD-0068,CL-0022,2026-05-29,paid_signup,835.12
CV-0023,LD-0072,CL-0023,2026-05-12,trial_signup,768.52
CV-0024,LD-0075,CL-0024,2026-05-27,upsell,123.79
CV-0025,LD-0076,CL-0025,2026-06-14,paid_signup,501.25
CV-0026,LD-0093,CL-0026,2026-01-20,trial_signup,874.88
CV-0027,LD-0102,CL-0027,2026-02-21,upsell,251.15
CV-0028,LD-0104,CL-0028,2026-02-24,trial_signup,445.93
CV-0029,LD-0107,CL-0029,2026-03-07,paid_signup,491.09
CV-0030,LD-0114,CL-0030,2026-03-08,paid_signup,766.81
CV-0031,LD-0120,CL-0031,2026-04-25,trial_signup,325.37
CV-0032,LD-0122,CL-0032,2026-04-08,paid_signup,857.38
CV-0033,LD-0134,CL-0033,2026-05-21,upsell,105.34
CV-0034,LD-0136,CL-0034,2026-05-28,paid_signup,498.2
CV-0035,LD-0137,CL-0035,2026-05-06,paid_signup,237.51
CV-0036,LD-0141,CL-0036,2026-06-05,upsell,126.09
CV-0037,LD-0150,CL-0037,2026-06-19,trial_signup,326.1
CV-0038,LD-0152,CL-0038,2026-01-09,paid_signup,428.26
CV-0039,LD-0153,CL-0039,2026-01-25,paid_signup,694.95
CV-0040,LD-0158,CL-0040,2026-01-19,paid_signup,775.27
CV-0041,LD-0163,CL-0041,2026-02-14,upsell,119.94
CV-0042,LD-0165,CL-0042,2026-03-03,trial_signup,483.52
CV-0043,LD-0167,CL-0043,2026-03-24,upsell,74.84
CV-0044,LD-0169,CL-0044,2026-04-01,paid_signup,883.38
CV-0045,LD-0173,CL-0045,2026-05-02,trial_signup,356.91
CV-0046,LD-0193,CL-0046,2026-03-26,upsell,256.05
CV-0047,LD-0194,CL-0047,2026-03-16,paid_signup,631.28
CV-0048,LD-0197,CL-0048,2026-03-03,trial_signup,400.13
CV-0049,LD-0201,CL-0049,2026-03-27,paid_signup,303.9
CV-0050,LD-0208,CL-0050,2026-04-17,paid_signup,759.79
CV-0051,LD-0210,CL-0051,2026-04-18,paid_signup,260.67
CV-0052,LD-0211,CL-0052,2026-04-14,trial_signup,888.02
CV-0053,LD-0212,CL-0053,2026-04-09,paid_signup,748.89
CV-0054,LD-0216,CL-0054,2026-04-28,paid_signup,169.34
CV-0055,LD-0221,CL-0055,2026-04-27,paid_signup,741.32
CV-0056,LD-0223,CL-0056,2026-04-23,trial_signup,349.03
CV-0057,LD-0226,CL-0057,2026-04-11,paid_signup,544.56
CV-0058,LD-0227,CL-0058,2026-04-10,paid_signup,733.51
CV-0059,LD-0230,CL-0059,2026-04-22,paid_signup,316.16
CV-0060,LD-0232,CL-0060,2026-04-22,paid_signup,831.56
CV-0061,LD-0233,CL-0061,2026-04-28,paid_signup,873.02
CV-0062,LD-0235,CL-0062,2026-04-06,upsell,261.82
CV-0063,LD-0237,CL-0063,2026-05-05,paid_signup,517.7
CV-0064,LD-0238,CL-0064,2026-04-12,trial_signup,210.59
CV-0065,LD-0241,CL-0065,2026-04-05,trial_signup,356.26
CV-0066,LD-0245,CL-0066,2026-04-24,paid_signup,598.04
CV-0067,LD-0247,CL-0067,2026-04-25,paid_signup,604.07
CV-0068,LD-0250,CL-0068,2026-04-08,paid_signup,235.81
CV-0069,LD-0265,CL-0069,2026-04-11,paid_signup,816.07
CV-0070,LD-0269,CL-0070,2026-05-02,paid_signup,490.12
CV-0071,LD-0271,CL-0071,2026-04-19,paid_signup,384.41
CV-0072,LD-0272,CL-0072,2026-04-16,paid_signup,430.73
CV-0073,LD-0273,CL-0073,2026-04-28,paid_signup,505.7
CV-0074,LD-0274,CL-0074,2026-04-15,paid_signup,219.92
CV-0075,LD-0275,CL-0075,2026-04-30,paid_signup,429.49
CV-0076,LD-0276,CL-0076,2026-04-30,paid_signup,589.85
CV-0077,LD-0277,CL-0077,2026-04-20,paid_signup,458.11
CV-0078,LD-0278,CL-0078,2026-04-25,upsell,230.27
CV-0079,LD-0279,CL-0079,2026-04-29,paid_signup,413.73
CV-0080,LD-0280,CL-0080,2026-04-28,trial_signup,511.64
CV-0081,LD-0281,CL-0081,2026-04-20,paid_signup,567.2
CV-0082,LD-0282,CL-0082,2026-04-28,paid_signup,580.58
CV-0083,LD-0283,CL-0083,2026-04-27,paid_signup,880.91
CV-0084,LD-0284,CL-0084,2026-04-09,paid_signup,643.37
CV-0085,LD-0285,CL-0085,2026-04-21,trial_signup,354.95
CV-0086,LD-0286,CL-0086,2026-04-13,upsell,137.76
CV-0087,LD-0287,CL-0087,2026-04-12,upsell,191.58
CV-0088,LD-0288,CL-0088,2026-04-21,trial_signup,705.73
CV-0089,LD-0290,CL-0089,2026-06-07,trial_signup,547.86
CV-0090,LD-0292,CL-0090,2026-05-26,paid_signup,405.67
