lead_id,campaign_id,created_date,region,source,status
LD-0001,CMP-001,2026-01-20,North,Paid Ad,converted
LD-0002,CMP-001,2026-01-18,North,Paid Ad,converted
LD-0003,CMP-001,2026-01-06,North,Paid Ad,qualified
LD-0004,CMP-001,2026-01-09,North,Paid Ad,lost
LD-0005,CMP-001,2026-01-21,North,Paid Ad,converted
LD-0006,CMP-001,2026-01-08,North,Paid Ad,converted
LD-0007,CMP-001,2026-01-27,North,Paid Ad,converted
LD-0008,CMP-001,2026-01-02,North,Paid Ad,contacted
LD-0009,CMP-001,2026-01-02,North,Paid Ad,converted
LD-0010,CMP-001,2026-01-13,North,Paid Ad,contacted
LD-0011,CMP-001,2026-01-07,North,Paid Ad,lost
LD-0012,CMP-001,2026-01-19,North,Paid Ad,lost
LD-0013,CMP-001,2026-02-11,North,Paid Ad,contacted
LD-0014,CMP-001,2026-02-16,North,Paid Ad,qualified
LD-0015,CMP-001,2026-02-21,North,Paid Ad,qualified
LD-0016,CMP-001,2026-02-09,North,Paid Ad,new
LD-0017,CMP-001,2026-02-24,North,Paid Ad,converted
LD-0018,CMP-001,2026-02-09,North,Paid Ad,converted
LD-0019,CMP-001,2026-02-14,North,Paid Ad,lost
LD-0020,CMP-001,2026-02-13,North,Paid Ad,qualified
LD-0021,CMP-001,2026-02-05,North,Paid Ad,qualified
LD-0022,CMP-001,2026-03-03,North,Paid Ad,converted
LD-0023,CMP-001,2026-03-28,North,Paid Ad,new
LD-0024,CMP-001,2026-03-21,North,Paid Ad,contacted
LD-0025,CMP-001,2026-03-22,North,Paid Ad,qualified
LD-0026,CMP-001,2026-03-03,North,Paid Ad,qualified
LD-0027,CMP-001,2026-03-20,North,Paid Ad,lost
LD-0028,CMP-001,2026-04-17,North,Paid Ad,contacted
LD-0029,CMP-001,2026-04-18,North,Paid Ad,lost
LD-0030,CMP-001,2026-04-01,North,Paid Ad,converted
LD-0031,CMP-001,2026-04-04,North,Paid Ad,converted
LD-0032,CMP-001,2026-05-18,North,Paid Ad,converted
LD-0033,CMP-001,2026-05-25,North,Paid Ad,converted
LD-0034,CMP-001,2026-06-04,North,Paid Ad,contacted
LD-0035,CMP-002,2026-01-06,South,Paid Ad,qualified
LD-0036,CMP-002,2026-01-24,South,Paid Ad,lost
LD-0037,CMP-002,2026-01-09,South,Paid Ad,lost
LD-0038,CMP-002,2026-01-25,South,Paid Ad,contacted
LD-0039,CMP-002,2026-01-04,South,Paid Ad,lost
LD-0040,CMP-002,2026-01-10,South,Paid Ad,converted
LD-0041,CMP-002,2026-01-17,South,Paid Ad,converted
LD-0042,CMP-002,2026-01-05,South,Paid Ad,qualified
LD-0043,CMP-002,2026-02-06,South,Paid Ad,qualified
LD-0044,CMP-002,2026-02-25,South,Paid Ad,lost
LD-0045,CMP-002,2026-02-01,South,Paid Ad,converted
LD-0046,CMP-002,2026-02-16,South,Paid Ad,new
LD-0047,CMP-002,2026-02-12,South,Paid Ad,lost
LD-0048,CMP-002,2026-02-27,South,Paid Ad,converted
