kpi_id,month,region,active_clients,new_clients,churned_clients,support_tickets,avg_response_time_hours,avg_fulfillment_delay_days
OPS-0001,2026-01,North,1,6,0,25,11.0,0.9
OPS-0002,2026-01,South,3,2,0,25,3.5,1.2
OPS-0003,2026-01,East,2,1,0,24,6.4,1.9
OPS-0004,2026-01,West,0,3,0,30,7.8,0.7
OPS-0005,2026-02,North,5,1,1,24,6.5,0.6
OPS-0006,2026-02,South,5,2,0,12,7.1,1.4
OPS-0007,2026-02,East,3,2,0,9,7.6,1.8
OPS-0008,2026-02,West,2,1,1,17,9.2,1.3
OPS-0009,2026-03,North,5,5,3,8,9.5,1.7
OPS-0010,2026-03,South,6,2,1,9,6.2,1.9
OPS-0011,2026-03,East,5,2,0,25,11.9,2.4
OPS-0012,2026-03,West,3,3,0,10,11.9,1.4
OPS-0013,2026-04,North,8,4,1,17,6.1,6.4
OPS-0014,2026-04,South,8,32,1,28,11.8,1.8
OPS-0015,2026-04,East,7,2,1,21,5.7,2.3
OPS-0016,2026-04,West,6,1,0,22,10.7,2.3
OPS-0017,2026-05,North,12,2,0,20,2.8,6.9
OPS-0018,2026-05,South,37,11,6,25,3.3,2.2
OPS-0019,2026-05,East,7,3,1,11,3.8,1.6
OPS-0020,2026-05,West,6,0,1,24,3.3,2.5
OPS-0021,2026-06,North,14,1,0,8,9.6,2.5
OPS-0022,2026-06,South,44,2,0,22,8.7,1.6
OPS-0023,2026-06,East,10,1,1,25,5.8,1.0
OPS-0024,2026-06,West,6,0,0,22,5.5,1.1
