revenue_id,client_id,date,amount,revenue_type,status
RV-00001,CL-0001,2026-02-25,353.92,one-time,recognized
RV-00002,CL-0001,2026-03-02,622.46,subscription,recognized
RV-00003,CL-0001,2026-04-02,253.12,one-time,recognized
RV-00004,CL-0001,2026-05-16,-300.26,one-time,refunded
RV-00006,CL-0002,2026-02-10,233.49,subscription,recognized
RV-00007,CL-0002,2026-03-17,498.76,subscription,recognized
RV-00008,CL-0002,2026-04-13,493.55,subscription,recognized
RV-00009,CL-0002,2026-05-07,360.52,subscription,recognized
RV-00010,CL-0002,2026-06-04,379.99,subscription,recognized
RV-00011,CL-0003,2026-02-06,183.63,one-time,recognized
RV-00012,CL-0003,2026-03-08,240.72,subscription,recognized
RV-00013,CL-0004,2026-02-26,415.12,one-time,recognized
RV-00014,CL-0004,2026-03-24,346.46,subscription,recognized
RV-00015,CL-0004,2026-04-03,199.88,subscription,recognized
RV-00016,,2026-05-23,389.24,subscription,recognized
RV-00017,CL-0004,2026-06-11,292.32,subscription,recognized
RV-00018,CL-0005,2026-02-15,260.78,upsell,recognized
RV-00019,CL-0005,2026-03-03,571.05,upsell,recognized
RV-00020,CL-0005,2026-04-14,385.25,subscription,recognized
RV-00021,CL-0006,2026-02-13,456.77,subscription,recognized
RV-00022,CL-0006,2026-03-08,589.15,one-time,recognized
RV-00023,CL-0006,2026-04-17,336.54,subscription,recognized
RV-00026,CL-0007,2026-04-09,249.41,subscription,recognized
RV-00027,CL-0007,2026-05-21,182.85,one-time,recognized
RV-00028,CL-0007,2026-06-15,159.47,subscription,recognized
RV-00029,CL-0008,2026-03-15,534.59,one-time,recognized
RV-00030,CL-0008,2026-04-21,500.13,one-time,recognized
RV-00031,CL-0009,2026-04-28,478.59,subscription,recognized
RV-00032,CL-0009,2026-05-16,390.23,subscription,recognized
RV-00033,CL-0009,2026-06-02,236.8,subscription,recognized
RV-00034,CL-0010,2026-05-02,195.1,subscription,recognized
RV-00036,CL-0011,2026-05-13,363.19,subscription,recognized
RV-00038,CL-0012,2026-06-11,278.64,one-time,recognized
RV-00039,CL-0014,2026-02-02,464.35,subscription,recognized
RV-00040,CL-0014,2026-03-27,391.75,one-time,recognized
RV-00041,CL-0014,2026-04-17,341.42,one-time,recognized
RV-00042,CL-0014,2026-05-15,269.81,one-time,recognized
RV-00044,CL-0015,2026-02-22,362.09,one-time,recognized
RV-00045,CL-0015,2026-03-21,461.01,one-time,recognized
RV-00046,CL-0015,2026-04-18,337.29,subscription,recognized
RV-00047,CL-0015,2026-05-22,-302.71,one-time,refunded
RV-00048,CL-0015,2026-06-03,424.63,subscription,recognized
RV-00049,CL-0016,2026-03-12,453.89,subscription,recognized
RV-00050,CL-0016,2026-04-22,325.81,one-time,recognized
RV-00051,CL-0017,2026-04-03,364.22,subscription,recognized
RV-00054,CL-0018,2026-03-22,608.85,subscription,recognized
RV-00055,CL-0018,2026-04-12,379.0,subscription,recognized
RV-00056,CL-0018,2026-05-25,240.7,subscription,recognized
RV-00058,CL-0019,2026-05-18,225.75,subscription,recognized
RV-00060,CL-0020,2026-04-20,591.9,subscription,recognized
RV-00061,CL-0020,2026-05-25,207.97,one-time,recognized
RV-00063,CL-0021,2026-05-15,-255.68,subscription,refunded
RV-00064,CL-0021,2026-06-08,327.11,one-time,recognized
RV-00065,CL-0022,2026-06-16,263.72,one-time,recognized
RV-00068,CL-0026,2026-02-06,416.37,subscription,recognized
RV-00069,CL-0026,2026-03-05,563.94,one-time,recognized
RV-00070,CL-0026,2026-04-16,590.31,subscription,recognized
RV-00071,CL-0026,2026-05-28,390.48,subscription,recognized
RV-00072,CL-0026,2026-06-06,242.9,subscription,recognized
RV-00073,CL-0027,2026-03-05,308.21,upsell,recognized
RV-00074,CL-0027,2026-04-08,570.59,subscription,recognized
RV-00075,CL-0027,2026-05-14,409.88,upsell,recognized
RV-00077,CL-0028,2026-03-04,356.21,subscription,recognized
RV-00078,CL-0028,2026-04-26,574.41,subscription,recognized
